01000001	4133758571
01000002	3978494912
01000003	659018745
01000004	942426636
01000005	3262630830
01000007	2657525517
01000008	3947905545
0100000A	3656769993
0100000C	895075704
0100000D	3649375089
0100000F	827876304
01000010	1170652316
01000011	1333344553
01000012	959836527
01000013	2102714277
01000014	3873544634
0100001C	1958259701
01000020	3547242272
01000021	2929584853
01000024	1755047908
01000025	2680317172
01000026	3364666332
01000027	132903499
01000028	2174930422
01000029	2118476743
0100002A	2213884542
0100002B	3999826738
0100002C	3966919481
0100002D	2092445757
0100002E	3027777728
0100002F	1533730037
01000030	2095951792
01000031	1368514765
01000032	1021726187
01000033	3861210147
01000034	2811165205
01000035	1606947570
01000036	1048813399
01000037	4013233789
01000038	324093478
01000039	236461590
0100003A	3153652199
0100003B	1931331075
0100003C	1003067989
0100003D	1004986888
0100003E	758656418
01000044	667628940
01000045	4218235131
01000046	1700131311
01000047	116214944
01000048	1281040309
01000049	862398595
0100004A	4084015790
0100004B	1837659081
0100004C	2246119369
0100004D	3320425033
0100004E	144158267
0100004F	2335778098
01000050	1253640431
01000051	757823016
01000052	4167153731
01000053	1411853074
01000054	714696096
01000055	1194578859
01000056	3807152075
01000057	3845466783
01000058	3427728766
01000059	738154793
0100005A	2020324097
0100005B	2173126790
0100005D	3941313786
0100005E	1523488181
0100005F	597740923
01000060	4280472954
01000061	196366428
01000063	3287263044
01000064	1166902356
01000066	2811616705
01000067	4242004225
01000068	307477163
0100006B	3150331492
0100006C	2423169680
0100006D	3499203876
0100006E	2449648049
0100006F	107077150
01000072	918026829
01000073	3224949016
01000074	2861868304
01000075	1560164059
01000076	3679880456
01000077	2561860576
0100007B	409901847
0100007C	3833063584
0100007D	2163082479
0100007E	569674185
0100007F	960892355
01000080	2373922021
01000081	985702614
01000082	2421519288
01000083	2824509265
01000084	2249741674
01000085	2857883291
01000086	783523325
01000087	3471799853
01000088	843193519
01000089	3868680077
0100008A	1933120478
0100008B	2455342369
0100008C	3426420395
0100008D	516065289
0100008E	1681475740
0100008F	3140346235
01000090	1358939630
01000091	1396474916
01000092	874823393
01000093	599933454
01000094	218386182
01000095	2685051264
01000096	470776132
01000097	2698878097
01000098	1736915971
01000099	1613789399
0100009A	2341667244
0100009B	2512596214
0100009C	545271501
0100009D	3976494085
0100009E	4254331756
0100009F	2765411096
010000A0	3297092135
010000A1	3705905775
010000A2	2600888469
010000A3	3692235476
010000A4	1636585380
010000A5	3144583787
010000A6	2543585262
010000A7	2479518878
010000A8	2265246464
010000A9	3180650404
010000AA	3392935194
010000AB	2490425166
010000D1	3543745858
010000D5	3148358353
010000D6	2837844124
010000D7	1115918698
010000DD	2856992674
